what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1264212823275
ws,sysinfo,,,"gtk",1264212823275
locale,sysinfo,,,"en_US",1264212823275
processors,sysinfo,,,"1",1264212823276
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1264212823276
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1264212823276
java.specification.name,sysinfo,,,"Java Platform API Specification",1264212823276
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1264212823276
java.specification.version,sysinfo,,,"1.6",1264212823276
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1264212823276
java.version,sysinfo,,,"1.6.0_15",1264212823276
java.vm.info,sysinfo,,,"mixed mode, sharing",1264212823276
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1264212823276
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1264212823276
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1264212823276
java.vm.specification.version,sysinfo,,,"1.0",1264212823276
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1264212823276
java.vm.version,sysinfo,,,"14.1-b02",1264212823276
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1264212823384
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1264212823403
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1264212823447
started,bundle,org.springframework.ide.eclipse.beans.core,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.beans.core",1264212823667
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.monitor.ui",1264212823694
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1264212823872
started,bundle,org.eclipse.mylyn.commons.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.commons.ui",1264212824812
